text,rating,author,date
The website was easy to order from and I received the product as expected,5,JV214,a month ago
The shopping was easy and direct. I was able to find just what I wanted. The delivery was timely and correct.,5,60 Tank,a month ago
"The packaging box was delivered in a very awful state. Box was all ripped and taped up, Making it seem like is a used product. Fortunately the unit and accessories looked new but dusty. The vacuum works great and is easy to assemble.",4,Edelira,a month ago
"Essy ordering, prompt updates on status of shipping and delivery",5,Jeff M,a month ago
Easy ordering process. VERY fast shipping. Would've appreciated a plain cardboard box to be less tempting to potential thieves but the delivery driver was LEGIT and stashed it out of sight from the road,5,Jared,a month ago
Marcher makes the best quality products.  Fast and reliable service every time.,5,Zook,a month ago
Very happy with the delivery and ease to set up the equipment.,5,TRR007,a month ago
"Received quickly. Surface cleaner worked great on the driveway and patio, cleanest it has ever been. Much faster to use than just a wand.",5,Brian,a month ago
Reception was ok. However the machine brokedown by the second use. I've requested support from the website days ago without someone contacting me.,1,Alejandro,2 months ago
I found the part I needed and ordered the part. Waiting for it to arrive.,5,Sixaces,2 months ago
Excellent product! Easy shopping experience. Products arrived well packaged. Will shop here again,5,mburns,2 months ago
I enjoyed shopping here and received my order very fast. the packaging was robust and everything was in great shape. I especially appreciated the detailed tracking information during the whole process.,5,Eric6677,2 months ago
"I needed to replace the garden hose coupling for my power washer, a machine many years old and actually no longer in inventory. We use the machine 2 to 3 times a year, but when we use it is is for large jobs that take several days. Again, we have used it over the last ten years, at least. And have let others borrow it. I give this information because they build machines to last. Just run them dry, change the oil occasionally, and use real gasoline without ethanol. Anyway, the part was $3.96 and it came postage free in two days. Excellent!",5,Excellent,2 months ago
"The shopping experience was very easy and my product arrived quickly, on time, just as promised.",5,Barry7,2 months ago
Easy to find the product i wanted and Karcher kept me updated on the delivery.,5,IDOC,2 months ago
Was easy shopping here and go my order in a few days,5,Dave24,2 months ago
"I knew what I was looking for, so that was easy from the start...having the additional accessories at the bottom of the page was helpful.",4,akw9000,2 months ago
I broke a part to my power washer   The replacement came I. Two days   Very happy with it. Good price. Good service.,5,Arnie,2 months ago
"The fact that I can get replacement parts for my 6 year old pressure washer, and get them quickly is pretty impressive.",5,Matt59,2 months ago
The item was delivered on time and I definitely exceeded our expectations. I am looking forward to acquiring more Karcher items in the future.,5,Pedro,2 months ago
Shopping was fast and great free shipping will shop here again,5,LDV2024,2 months ago
"Website was a little clumsy, but I was able to find what I was looking for for the most part.",5,Ken_IT,2 months ago
"I had to ask the girls for help finding the part #'s & the picture but they were excellent.  Very nice, patient & helpful.",5,Oldster,2 months ago
"Ordering from the website is as easy as any other. Shipping took longer than average, and the product came damaged and inoperable. It took about 30 minutes on the phone to get the return process going, and now over a day later still unsure if it’s going anywhere? No return label or correspondence from them. Not too unusual from a company these days, but a little ridiculous from one who boasts a “rapid return program.” I’m sure it will eventually work out but I am regretting my purchase as of now.",3,Bied559,2 months ago
I ordered the Karcher Standard M22 Spray Gun to replace my current spray gun which started leaking profusely.  When it arrived my current spray wand was not compatible so I had to order the correct wand which I await to arrive in the mail.  More information on your replacement parts website  would be helpful.,3,Tom1,2 months ago
Loved the items I got and would order again  thank you for your work,5,kirkjay7,2 months ago
Ordering was easy and I got my order very quick. I will order online again.,5,Dodge133,2 months ago
Good service.   I have an older Karcher unit and I needed help finding a replacement part.   I sent an email with a picture and someone got back to me quickly with the parts I needed.,5,Jeffsdad,2 months ago
Fast service! Free shipping and easy to navigate the website.,5,Waldo64,2 months ago
Eight days until delivered and packed in a box 6 times larger than needed.,2,Larry,2 months ago
Excellent service. The person I spoke with spoke English. So refreshing and helpful.,5,Jap88,2 months ago
"When I called, I was on hold for 20+ min. before a rep. helped me. She was very knowledgeable, and we eventually found the hose I need for my Karcher Power Control.  I was surprised that I had to pay extra to order it thru her as we talked.  When I did order it on line there was a problem with THAT...so I had to call again (only to be on hold for 20+ min again) for the rep to see if my order went thru.",4,RitaB,2 months ago
"I have a very old pressure washer. Rather than go to website, I called. The young lady that assisted me went above and beyond. Looked the part up for me...then to make it easier for me, she walked me through the website (being extremely patient with me) and I placed my order. Excellent customer service!",5,Ole guy,2 months ago
"No problem , except with having to write an essay on the experience",5,Phil,2 months ago
"Received on time. Haven't opened the box yet, haven't had to use it. Thanks.",5,Cindy,2 months ago
It was easy to get what I needed and it arrived within a week in a box way too big for the item,5,Norepiet,2 months ago
"Great place to shop for useful, practical and easy to use home maintenance equipment.",5,Fred,2 months ago
Had the correct part for my washer and delivered it.  I wish that the parts breakout included all the O Rings for the Dirtblaster,5,Dick24,2 months ago
Product information was easy to find.  Took advantage of a sale price by purchasing directly from the manufacturer.,5,ChrisB,2 months ago
"Ordered a 1800 psi Cube, foam cannon and a extra 25' hose. Delivered in a week.",5,Fatso1945,2 months ago
Ordering was easy it was very small seems to me it could have gone in the USPS mail and gotten here faster and cheaper.,4,Andy,2 months ago
I bought my product through Amazon and it couldn’t have been easier. The item was delivered very fast.,5,Mark G,2 months ago
"Received another customers Delivery Packing Slip in my box.  Also, no detergent bottle available, online or from Karcher- makes K5 completely useless without.  Waited over 45 minutes on hold for customer service.  They said bottle would be separate purchase and is backordered-None anywhere in US for purchase. No date for when it would be available.  Clearly idiots are running the show at Karcher and they don't care about the consumer. No detergent bottles (refillable) for this unit?????? How do you run out of cheap plastic bottles?",1,Andrew S,2 months ago
Ordering online was a simple process. My order was received in perfect condition.,5,SB419,2 months ago
Easy to use site. Great timing on the sale. Fast shipping.,5,JDTN,2 months ago
"KARCHER HAS EXCELLENT PRODUCTS. THEY NEED TO ADVISE CUSTOMERS WHEN THE ITEMS ARE SHIPPED FOR TRACKING. THIS HELPS BUSY PEOPLE LOOKOUT FOR PACKAGES, OTHERWISE VERY FAST DELIVERY.",3,MR CLEAN,2 months ago
Website was easy to work with.  Looking forward  to receiving it in another few days.,5,Funpilot,2 months ago
"The concrete washer attachment worked better than I expected, since I have an older K3 power washer.  I cleaned our entire sidewalk in 20 minutes, without really any effort.",5,BenC,2 months ago
I very much enjoyed shopping on the Karcher website.  Very easy to navigate.  Delivery was much faster than I expected.  I will be using the Karcher website again for future needs and purchasers.  Thanks.,5,BobH645,2 months ago
"Good quality, timely delivery. Happy shopping, appreciated your support.",5,Ryan,2 months ago
"Great price, fast service , received on time xxxxx",5,Billsr,2 months ago
Easy to figure out what I needed to order. Website was intuitive.,5,Steve,2 months ago
Ordering by phone was easy and when free shipping was involved that was a plus. Price was fair compared to other brands I was looking at in stores.,5,RDK 1969,2 months ago
Quick shipping and good prices on hard to find parts for my pressure washer.,5,Denny,2 months ago
"Easy to use website.  I great news, the item I needed was on sale.  Easy to order.",5,Somebody,2 months ago
"Excellent process in ordering. Agent was well informed and made the process simple, accurate and smooth.",5,Mister B,2 months ago
Ordering was easy. Delivery was Fast and reliable!!,5,Mrsdel2006,2 months ago
Quick fast deliver. Kracher makes excellent products,5,Everonward,2 months ago
"Pricing was competitive. Purchasing from the manufacturer, IMO, is best because you’re dealing direct. Regarding the experience, I purchased another item last eve from Karcher and definitely not as smooth as Amazon or HD, couple unnecessary bumps that slowed the purchasing process, but no major obstacles.",4,Ascrept49,2 months ago
Online offering made it easy to find the parts I needed. The price was decent and the delivery was very satisfactory.,4,chuber1025,2 months ago
The hose attached to the sprayer gun seems loose.  Did not click when I put it into the gun. Seems cheaply made.,3,Mary,2 months ago
Shopping was easy navigate and my order arrived  quickly. Two thumbs up!,5,greg68,2 months ago
"Wasn’t good. Clunky cart system, I had to re do my credit card info tons of times. I wasn’t sent any info about shipping. I was told it’d be shipped in 2-3 business days…it’s been over that and I still don’t have the product.",1,Rdislim,2 months ago
ABSOLUTELY I WILL SHOP AGAIN KARCHER BRAND IN THE FUTURE,5,FEL29,2 months ago
The buying process and follow up was exceptional. I knew where my delivery was and at what time it would arrive.,5,Hangerstyle,2 months ago
Finding the parts for our lot sweeper was a breeze with the website. Order arrived a day early.,5,Quiks Carwash,2 months ago
"Bought from karcher.com, was good experience.  Package arrived without  damage. Good communication.",5,MarkyMark,2 months ago
Package came in yesterday. In good condition. Have not opened. Will try over the weekend.,5,Niko,2 months ago
Had all the parts I needed. Reasonable pricing and speedy delivery. Happy to find support for an 8 year old product.,5,Worsher,2 months ago
Received order fast and exactly what Iordered and needed,5,HA45,2 months ago
Order was received as the company said it would I would order again from them,5,Bill,2 months ago
The web info was accurate and the experience seamless. The order arrived in a timely manner.,5,Ginger8583,2 months ago
Received my order in a timely fashion. Item just as described and works flawlessly.,5,KAU2018,3 months ago
All good quick shipping good price seems to work good,5,Sideshowbob,3 months ago
"Only downside was long wait for product availability but delivery was very quick and the floor has never been cleaner. Mopping was leaving a lot of dirt behind, not the case with this machine. I can run a damp paper towel over cleaned area and it isn’t showing any dirt. You do have to empty dirty tank often it’s worth it. Important to note I have 1800 so feet of vinyl flooring and it was frustrating to see floor still not clean after mopping. Unit stays charged has promised, I just need to clean my floors in sections at a time due to so many square feet of flooring we have. But I know my floor will get cleaned more often due to no back breaking mop cleaning. My hope is to get many yrs use due to pricy unit, taking care to clean after ea use will I’m sur help with long use. No regrets on my purchase.",5,Ly67,3 months ago
Ordering was easy and fast. Shipping was pretty quick as well.,5,Jerp,3 months ago
"haven't received the order, unable to leave a positive review at this time",2,demur,3 months ago
"Great machine , I have one in Germany too .I can recommend it to everyone",5,RB1948,3 months ago
Placing order was simple and items arrived as expected. Can’t wait to use the pressure washer.,5,J3w3ls,3 months ago
I was very pleased with customer support helping me to choose the correct spray gun for my gas pressure washer,5,NLS1,3 months ago
I am a frequent shopper at this site and I had bought equipment you.,5,guille,3 months ago
good product at a very good price and fast delivery,5,fatmandoo,3 months ago
"The shipping notification e-mail came from ""Hintergrund-Benutzer DP ALE Remote"" which was confusing.",4,bob27,3 months ago
"I enjoyed shopping how even er the Product was damaged in shipping. I was instructed to contact your product replacement division for a replacement.customer service was quick to respond and very helpful.  Hopefully, the order will be processed timely.",4,Gman,3 months ago
"I thought the ship-time was acceptable, about five days. However, when my power washer arrived, the entire bottom of the box was soaked, like it had been sitting in a puddle of water and was beginning to tear open. Haven’t had a chance to run the unit, but this review asked about the order process.",3,Chris,3 months ago
Great and  fast delivery. Installed easily. Great pressure,5,Acmm,3 months ago
I got my delivery earlier than expected.  Unit had some issues that weren't disclosed in the description althogh cosmetic. Carburator leaked due to drain valve being open/loose.,4,Burt,3 months ago
Shopping was easy. Product description very good and pictures very descriptive.Sale price was great and shipping very fast.,5,oxnarddragonlady,3 months ago
Hi the product is high quality and works perfectly every time I never have any problems with different products from Kärcher highly recommended,5,Robert,3 months ago
"Shipping was slow -- took a full 10 days to receive the parts.  It was only a few seals, not a big order.  But I do greatly appreciate the free shipping!",4,GJG123,3 months ago
purchasing from Karcher was easy and we received our item within 3 days,5,magnoliagoddess,3 months ago
I perfer to order items directly from the mfg. Good website and ease of transaction.,4,Dieselkk,3 months ago
Absolutely a joke!!  Your false claims of items shipped were a joke!  Printing an UPS label doesn't qualify as shipped.  Still waiting for package to be delivered.  The best part is I called my local janitorial supplier and cancelled my order for (2) additional cordless backpack vacuums!   So sad!!  Ziemlich traurig!,1,Never Again,3 months ago
"Positive: Online experience was great.  Shipping and delivery was fast with tracking provided.  Negative:Product sold as new but what was delivered was obviously an open box/return.  Customer Support so far has been good to work with, but still waiting for replacement confirmation and shipping info.  Crossing fingers they make it right, quickly.Would have been 5 stars should product arrived as advertised.",2,creese75,3 months ago
Very disappointed twice the ladies I talked to hung up on me I bought my sweeper November 30th got it December 4th broke March 10th I bought a new charger didn’t work! It’s under a 1 year warranty and I purchased a 2 year warranty through Walmart! Walmart said I have to have Karcher fix or replace it! Why should I have to fight to get my sweeper replaced it’s not the charger either! I love my sweeper but I’m highly disappointed in Karcher! I paid $24 with shipping for the charger then another $43 I had buy another little sweeper because I needed one! I let a bill go to buy these 2! $67!,1,Susie,3 months ago
"Not worth it money, cheap plastic, very disappointed, overpriced.",2,Edcka666,3 months ago
Ordering my item was easy and I did not encounter any negative issues.  The items were delivered when promised.,4,Carolina Ty,3 months ago
The pressure washer came on time and has worked well.,5,fmgolf,3 months ago
"Easy to use,no problems, don't know shipping date yet or when to expect delivery",5,james,3 months ago
"Great experience. Easily found the parts I needed, was very confident that they were the correct parts for my model pressure washer. Excellent communication throughout the process, and very fast shipping. Very pleased.",5,MrStorky,3 months ago
Great experience overall. Parts arrived quickly. Would recommend to my peers.,5,Mike,3 months ago
"Purchase of Power washer did not go well. After you sent me email acknowledging that you denied my On 3/19, I contacted your customer service online service to inform your company we would not be doing business with Karcher. The agent informed me that the power washer that I ordered was cancelled and they would not charge my card; however, Karcher sent the power washer and charged my purchase card with tax included. I had also sent an email on 3/18, per instructions of customer service with my attached tax-exempt form and your customer service insured me that the tax would be carged",1,Dissatisfied Customer,3 months ago
Website was easy to navigate.Comparing the different models wasn’t any problem to make my decision.,5,Huey75,3 months ago
"Very satisfied , solid and fast shipping with updates",5,MrSpraeClean,4 months ago
Good service and communications. Reasonably priced product. Looking forward to getting work done with this.,5,40 ben,4 months ago
"Great shopping experience - convenient website, very fast shipping",5,Ryndinalex,4 months ago
"Fast easy to order, the shipper was fast to, and it showed by the box, look like they did everything that could do to it, it was rough, However everything was still in the box.",5,chuck from NY,4 months ago
Free shipping.  OEM parts for perfect fit for vacuum.,5,Azreddy l,4 months ago
This is an excellent product.  Very easy to work with and light weight.  Cleans so fast!,5,Karcher Window Vac,4 months ago
Placing my order was easy and hassle-free. My product was delivered in a timely fashion.,5,Falling Beej,4 months ago
"Better price than Amazon, free shipping, and item was on sale",5,Dave,4 months ago
"I was able to shop easily and get a good deal.  I also forgot to enter a promo code and was able to easily email customer service and they gave me a credit back, which is awesome.  Great vacuum with lots of attachments.",5,MT Denver,4 months ago
"Delivered as promised. WV 1 window vac works as expected. Learning curve needed to use with satisfactory results. Overall very good product, especially for large windows.",5,Marcus55,4 months ago
The order arrived promptly on the date promised. The packing was very professionally done. All items arrived in perfect condition.,5,gm201,4 months ago
"Easy to scan QR code, add to cart and check out.  Was very easy shopping and fast delivery!",5,2low,4 months ago
"Very easy to use, especially if you already know the product you’re buying is the right one for you.",5,Joec,4 months ago
"Easy ordering on line, received merchandise within a week",5,Pete43,4 months ago
I am quite happy with my window vac. I saw one in Europe and was thrilled to finally be able to purchase one in the US. It works well and leaves my windows streak free. The squirt bottle leaks when I clean the windows though.,5,bateacher,4 months ago
"vacuum came damaged, multiple pieces broken. Pretty frustrating for the price spent",2,David,4 months ago
I had no issues with any aspect of the process. The delivery was very quick.,5,Blue,4 months ago
"Shopping here was very easy.  I received my order, well packed and undamaged, in just over a week. I do have a product issue that I will try to address with Karcher tomorrow when their service center is open.",4,Prudenville Dave,4 months ago
"My experience with Karcher , but the power washer seems to have been lost by UPS.",3,Jaycee,4 months ago
"Receiving an email with the subject line ""Did your recent purchase go well?"" without yet having received the products purchased leads to unfavorable thoughts about my experience so far.",1,Rob27,4 months ago
I am so happy that I was able to order replacement parts on a discontinued wet and dry vac so easily! Thank you.,5,Wendbob4,4 months ago
Everything went well! Products work great! Shopping was easy and shipping was fast! Highly recommend and appreciate them!,5,DPclean,4 months ago
Everything went well..In my honest opinion delivery took too long.7 days from ordering to receipt is too slow in this day and age.,4,Bullyboy,4 months ago
Delivery was at the exact date I was expecting it! Job done,5,CleaningFreak,4 months ago
very Fast shipping! Like new floor sweeper. Like so far,5,ElectPlum,5 months ago
Item not available on Amazon and received product I was looking for very quickly and with free shipping.,5,Indycher,5 months ago
"Outstanding! They have the parts, price is great and shipping is fast. Did I mention customer service is also very helpful.  What online shopping is suppose to be!",5,JD914,5 months ago
It was difficult to find the item I needed and then I was sent a notice that the item was on backorder. I have not received the item yet.,2,Jimsk8,5 months ago
"Great quick service, product was reasonably priced and perfect fit.",5,Greg,5 months ago
"This turned out to be a great place to shop.  Ordering was easy and most importantly, the item got to me quickly.",5,Jerry,5 months ago
Fast service. Product does a great job.Packaging was very good.,5,Wendy,5 months ago
"I absolutely love my squeegee! I was walking around, looking for anything, and everything to clean!.",5,Jeni,5 months ago
Placing the order was easy and fast...no issues to speak of,5,Csharp,5 months ago
Easy to place order.  delivery was as promised  and order progress was easily tracked.,5,billp,5 months ago
Everything went great from ordering to delivery.  No problems thumbs up,5,Pressure washer joe Bob,5 months ago
ordered on line expected conformation email. called twice and never got a call back or confirming order.had engine manual but no manual for pressure washer connections and operation,1,user,5 months ago
"Placing order was easy, shipping as promised, item great.",5,Zoya51,5 months ago
"Had problems with billing , but it was resolved didn't think it would be this difficult to purchase a tool.",3,Larry,5 months ago
"Best value for the money, excellent fast shipping !",5,Jaimes,5 months ago
All is good great vacuum great price nice and compact,5,Don602,5 months ago
"Absolutely amazing vacuum, especially for the price.",5,Akerley,5 months ago
Highly recommended thank for excellent costumer  services,5,Teona,5 months ago
I found what I needed and got it quickly.short and sweet.,5,Shoot21,5 months ago
I only need one item.  It was easy to find on the website.,5,Andiegee,5 months ago
order arrived on time and shopping experience was good,4,weekend washer,5 months ago
"great shopping experience, easy to navigate website, and very fast delivery",5,Duke847,5 months ago
"Shopping through the Karcher website was alot more informative and easy than the two big box stores here in my area. More items, better deals and as I stated before ALOT more information. Shipping was very fast and items were package very well. Test ran the pressure washer and it ran flawlessly. EXCELLENT EXPERIENCE",5,MikeJ,5 months ago
Fast & EASY great product great website good tracking,5,Easyfast1,5 months ago
The online process was quick & easy. Immediate acknowledgement and very fast shipping. Also timely notification of shipping and delivery.,5,Gary46,5 months ago
This is the fourth time I have purchased from the Karcher site and it always goes well.  I got the item earlier that expected and in good condition.,5,beny47,5 months ago
"I made a purchase on 1/16. It is now 1/24 and I have yet to receive any additional information about my order i.e. shipping, tracking, etc.. I attempted to contact a representative via the contact number they provided, in an attempt to figure out what was going on with my purchase. I made several call attempts but was unable to speak with a representative, so I left a voicemail as it was one of my two options. I am currently waiting to hear back from customer service at this time as I am completely in the dark with the progress of my purchase.",1,TAS LLC,5 months ago
Great shopping experience and transaction. Speedy shipping.,5,TP in NJ,5 months ago
Extremely fast shipping. I definitely will shop here again.,5,Dave W,5 months ago
"As of today, the order has not arrived.  It’s been a week.  The urgency for this purchase has passed.",1,Charlie Brown,5 months ago
Very easy to purchase/find item on the website and received our item sooner than expected.,5,Anonymous,5 months ago
"Order received fast, within 3 days.  Site easy to navigate.",5,sasha0429,6 months ago
"Great product, great customer service. Satisfied with everything.",5,Arty,6 months ago
Easy shopping experience and I recommend this site.,5,Iowa Jim,6 months ago
I ordered on the 6th and got it the 11th! Definitely didn’t expect that in today’s post covid world! Thank you.,5,Happy in Colorado,6 months ago
Overall my order was shipped and received in a timely manner. I did not receive the part that I thought I ordered. I was pretty convinced that I was ordering a complete pump assembly and what received was the lower half and I received an email letting me know that the part I was needing was discontinued from karcher and I would have to try a retailer.,4,Heath76,6 months ago
The website makes comparing different products very easy,5,NJA2319,6 months ago
It was so easy shopping and getting my parts.Every experience should be this way. Thank You.,5,John,6 months ago
"I initially procrastinated in making this purchase. Then it was sold out. The site gave a late January expected refill date. Fortunately, it became available shortly after January 1st. The entire process was simply and delivery was sooner than expected. Thank you!  Can’t wait to try it!",5,Netty,6 months ago
"I appreciated everything about the order process, EXCEPT the delivery.  UPS left the package in front of the door, in a pouring rainstorm.  They did not ring doorbell to alert us of delivery, nor send an email notification. Box was completely soaked by the time package was discovered. It takes one second to ring doorbell.",4,Beachside,6 months ago
The ordering experience was very easy and UPS delivery was also very smooth.,5,namin,6 months ago
Good JOB! Very easy to order and pick items needed!,5,TOOLMAN100,6 months ago
Easy to review product and obtain information.  The website was easy to navigate,5,Chicagoland23,6 months ago
"Wonderful service, prompt delivery. Saved me from buying a new machine",5,Dave,6 months ago
Don’t even bother to purchase this I support to receive this 2-3 days ago did not deliver it at all,1,Jimmy Jim,6 months ago
Very Excellent service ! Fast delivery and well packed product !,5,None,6 months ago
"Love this little guy.. easy to use, easy to empty, easy to charge. Purchased 3 now.. Life saver when you don’t want to pull out the vacuum for a little spot.",5,Bellaenzo,6 months ago
"I bought this as a Christmas present. It arrived on time and with a bit of charge in battery so we could try it right away. I think we will enjoy it even though once detached, the handheld part seems unwieldy, time will tell.Unfortunately it is missing three accessories so we are hoping company will send them. I took away a star on rating since it is missing pieces.",4,Clean,6 months ago
"very easy to complete the order & fast delivery,,came in a secure package",5,Accarabi,6 months ago
Easy shopping. Full descriptions answered my questions.,5,John North Fort Myers,6 months ago
fun to look at site and see new and exciting items,5,Robertha,6 months ago
"I love the product, works great, very sturdy and handy. One complaint it was a gift for Christmas and it came in a karcher big yellow box. He got home from work before me and saw it. I was disappointed in that sense. Would recommend this product to anyone.",4,Angelban24,6 months ago
nice website and very quick delivery. only bummer is I got the wrong spray wand and would like to return it.,5,Zach C,6 months ago
Easy to find what I needed and quick ordering process. Received quickly as well.,5,Edge,6 months ago
I was surprised how large the items I had purchased were when compared to the tiny 'starter' detergent delivered with the floor cleaner. So I bought two and now I have enough to last me for many clean floors to come.Ordering was very straightforward and the items showed up a few days later.,4,HengisMan,6 months ago
I like the product. The online purchase process was relatively easy. The price was right. Shipping time was more than adequate.,5,finspeed,6 months ago
"Ordering was easy and simple, which I greatly appreciate.  I received my order quicker than expected.  The entire process was 5 stars.",5,pk63,7 months ago
Excellent pressure washer loved the surface cleaner attachment,5,Nabs,7 months ago
I ordered the garden hose adapter for my 1700 cube as I wanted a spare. It came nicely packaged and quicky.,5,CJRAM,7 months ago
The online shopping experience was excellent; however I have not opened the product for which I ordered.,5,NOPE,7 months ago
Fairly easy to use website even though my unit has been discontinued.,5,Nob27,7 months ago
"Excellent and very easy process. Shipping fast and pressurewasher works perfectly. Great quality and workmanship. I'd definitely recommend ordering their items online, as they, made the process smooth. Thanks!",5,Bob53,7 months ago
"I enjoyed shopping online, the shipping was fast but when opening the box some of the plastic parts had small scratches",4,Roy1986,7 months ago
Found the extension wand during a Google search. Can’t beat free shipping. Received the wand - the design is superior to all my other wands - the detent ball and sleeve design hold large pressure washer surface cleaner very firmly.,5,Ndfeb,7 months ago
Shopping here was super easy and received my order fairly quick. Price here was cheaper than other sites.,5,TinaJ,7 months ago
Well organized website.  Good product descriptions and photos.,5,aeromechanix,7 months ago
"Great product, great service and very efficient delivery.",5,Rainer,7 months ago
I like the vacuum cleaner very much. He has good power. Exactly what I need.,5,Carriestone,7 months ago
Discovered after piece delivered that I need an adapter- the notice on the web page does mention it but is in very small print that is easy to miss at top of page. Just hope that the adapter arrives more quickly than main part and resolves the issue.,3,Lijonel,7 months ago
"Excellent product, Works better than I thought it would.  I'm going to buy another one for our camper",5,Nate,7 months ago
