Review,Studiengang,cleaned_review,sentiment,category
Ich stehe jetzt kurz vor meinem Bachelor und echt happy in Mittweida studiert zu haben. Es ist ein richtig toller Studiengang. Nicht nur Production sondern auch Marketing und recht sind Teil des Studiums. Das bietet sehr viel Abwechslung und viele Einblicke in unterschiedliche Branchen der Medien Welt. Zudem ist viel Praxis Anteil dabei um das gelernte direkt anwenden zu können.,Mittweida,stehe kurz bachelor echt happy mittweida studiert richtig toller production marketing recht teil studiums bietet abwechslung einblicke unterschiedliche branchen medien welt praxis anteil gelernte direkt anwenden,0.8,Praxisbezug
"Im Studiengang Medienmanagement an der Hochschule Mittweida hat man Module in verschiedenen Richtungen. Es gibt Module, die sehr theoretisch sind, wie zum Beispiel Recht, Marketing und Wissenschaftliches Arbeiten. Dabei lernt man auch viele wichtige Sachen für die Zukunft, wie Dinge Arbeitsrecht. Außerdem gibt es Module, die zwar eher theoretischer Natur sind, wo man aber durch verschiedene Aufgaben auch das Wissen während des Semesters praktisch anwendet, wie Crossmedia, Gründungsmanagement und Dramaturgie....Erfahrungsbericht weiterlesen",Mittweida,medienmanagement mittweida module verschiedenen richtungen gibt module theoretisch beispiel recht marketing wissenschaftliches arbeiten lernt wichtige sachen zukunft dinge arbeitsrecht außerdem gibt module eher theoretischer natur verschiedene aufgaben wissen semesters praktisch anwendet crossmedia gründungsmanagement dramaturgie erfahrungsbericht weiterlesen,0.0,Sonstiges
"Bin erst im ersten Semster, die richtig spannenenden Sachen kommen noch aber bis jetzt sehr zufrieden, vorallem Das Modul Journalismus hat mich bis jetzt überzeugt. Die ersten Prüfungen waren zwar schwer aber machbar. Der Studiengang hat coole Vertiefungen wie z.B Journalismus und Production.",Mittweida,erst ersten semster richtig spannenenden sachen kommen zufrieden vorallem modul journalismus überzeugt ersten prüfungen schwer machbar coole vertiefungen journalismus production,0.0,Sonstiges
"Ich finde den Studiengang Medienmanagement gelungen. Die Dozenten und Professoren sind sympathisch und vermitteln die Inhalte gut. Ab dem 3. Semester gibt es vor allem Praxisanteile und Projekte, um das vermittelte Wissen anzuwenden. Ich würde mit lediglich in den ersten beiden Semestern ein bisschen mehr Praxis wünschen.",Mittweida,finde medienmanagement gelungen dozenten professoren sympathisch vermitteln inhalte gut gibt praxisanteile projekte vermittelte wissen anzuwenden lediglich ersten beiden semestern bisschen praxis wünschen,0.0,Dozenten
"Wer Erfahrungen im Bereich Medien machen will, sollte Mittweida auf jeden Fall in Erwägung ziehen. Es gibt viele Möglichkeiten sich einzubringen, zum Beispiel Festivals und Events organisieren, Radio oder Journalismus. Vor allem in der Production-Vertiefung lernt man Grundlagen der Videoproduktion und darf auch an der Studiotechnik arbeiten. Wer bereits Vorwissen hat, wird nicht viel dazulernen, allerdings bietet Mittweida vor allem mit dem Medienforum eine Möglichkeit Connections für den weiteren Weg...Erfahrungsbericht weiterlesen",Mittweida,wer erfahrungen bereich medien mittweida fall erwägung ziehen gibt möglichkeiten einzubringen beispiel festivals events organisieren radio journalismus lernt grundlagen videoproduktion darf studiotechnik arbeiten wer bereits vorwissen dazulernen allerdings bietet mittweida medienforum möglichkeit connections weiteren erfahrungsbericht weiterlesen,0.0,Technik
"Interessantes Studium mit großem Praxisbezug. Dozenten kommen oft beruflich aus der Medienwelt und wissen, was in der Praxis wichtig ist.Das Studium generell ist stark auf den Bereich der Medienproduktion vertieft. Business/Marketing wird auch angeboten, jedoch leider nicht so ausgereift.",Mittweida,interessantes großem praxisbezug dozenten kommen oft beruflich medienwelt wissen praxis wichtig generell stark bereich medienproduktion vertieft angeboten leider ausgereift,-0.2,Dozenten
"Es gibt eine breite Auswahl an Einblicken die man in die Medienbranche gewinnen kann. Je nach Interessen kann man sich spezifisch fokussieren. Die Vorraussetzungen sind sehr gut,man wird gut betreut und es gibt viele praxisnahe Angebote. Es ist für jeden eine Richtung dabei.",Mittweida,gibt breite auswahl einblicken medienbranche gewinnen je interessen spezifisch fokussieren vorraussetzungen gut gut betreut gibt praxisnahe angebote richtung,0.0,Praxisbezug
Es gibt viele Projekte an denen man sich beteiligen kann. Das macht das Studium sehr praxisnah und lockert Studieninhalte auf. So hat man am Ende seines Studiums schon Arbeitsproben die man bei Arbeitgebern einreichen kann und das ist in meinen Augen immer ein Pluspunkt.,Mittweida,gibt projekte denen beteiligen macht praxisnah lockert studieninhalte ende studiums schon arbeitsproben arbeitgebern einreichen augen pluspunkt,0.0,Praxisbezug
"Studium ist ok organisiert. Die Praxisanteile sind super, man kann viel in Projekten lernen. Die Technik ist teilweise sehr modern und man findet in der kleinen Umgebung gute Freunde. Unser TV Studio ist extrem cool und Live Sendungen zu veranstalten ist eine großartige Erfahrung.",Mittweida,ok organisiert praxisanteile super projekten lernen technik teilweise modern findet kleinen umgebung gute freunde tv studio extrem cool live sendungen veranstalten großartige erfahrung,0.3039393939393939,Technik
"Als jemand, der gerne „irgendwas mit Medien“ machen will, fühle ich mich hier sehr gut aufgehoben. Man bekommt vielseitige Einblicke und dabei ist der Großteil der Dozent freundlich. Man muss nicht unglaublich viel Erfahrung mitbringen was ja leider sonst nicht immer der Fall ist und man bekommt Praxisnähe geliefert.",Mittweida,jemand gerne irgendwas medien fühle gut aufgehoben bekommt vielseitige einblicke großteil freundlich unglaublich erfahrung mitbringen ja leider fall bekommt praxisnähe geliefert,0.0,Praxisbezug
"Das Studium ist toll keine Frage jedoch, ist die Planung von Lehrveranstaltungen und Ausflügen sehr kurz getaktet, weswegen es schwierig ist nebenbei zu arbeiten. Es herrscht jedoch keine Anwesenheitspflicht weswegen es nicht nötig ist sich für Lehrveranstaltungen abzumelden.",Mittweida,toll frage planung lehrveranstaltungen ausflügen kurz getaktet weswegen schwierig nebenbei arbeiten herrscht anwesenheitspflicht weswegen nötig lehrveranstaltungen abzumelden,0.0,Sonstiges
"In diesem Studiengang ist man wirklich sehr nah an der Praxis. Nicht nur, dass die Dozenten Beispiele aus dem täglichen Leben einbringen, sondern man kann das gelernte direkt in die Praxis umsetzen, durch die zahlreichen Projekte auf dem Campus. Das macht es deutlich verständlicher.",Mittweida,wirklich nah praxis dozenten beispiele täglichen leben einbringen gelernte direkt praxis umsetzen zahlreichen projekte campus macht deutlich verständlicher,0.0,Dozenten
"Man bekommt immer Hilfe und wird unterstützt. Auch die Praxis kommt nicht zu kurz, wir lernen an echten Projekten und sammeln so viele Erfahrungen die und später behilflich sein können. Auch die Parkplatzsituation ist gut. Angenehme Stadt in der man seine Ruhe hat.",Mittweida,bekommt hilfe unterstützt praxis kommt kurz lernen echten projekten sammeln erfahrungen später behilflich parkplatzsituation gut angenehme stadt ruhe,0.0,Praxisbezug
"Freundliche Dozenten, familiärer Umgang, technisch super aufgestellt, gute Praxiserfahrung, man benötigt nicht sehr viel Vorahnung, man wird gut an alles hinangeführt, Campus ist klein aber alles super easy erreichbar, Lernmittel werden immer digital zur Verfügung gestellt.",Mittweida,freundliche dozenten familiärer umgang technisch super aufgestellt gute praxiserfahrung benötigt vorahnung gut hinangeführt campus klein super easy erreichbar lernmittel digital verfügung gestellt,0.275,Dozenten
"Ich habe vor Kurzem mein Studium abgeschlossen und bin sehr zufrieden mit den vergangenen Jahren. Zwar hat Corona einiges erschwert, jedoch hat die Hochschule Mittweida alles daran gesetzt, das Studium so normal wie möglich zu gestalten. Organisatorisch war es manchmal etwas verworren, jedoch bin ich im Gesamtbild sehr zufrieden gewesen.",Mittweida,kurzem abgeschlossen zufrieden vergangenen jahren corona erschwert mittweida daran gesetzt normal möglich gestalten organisatorisch manchmal verworren gesamtbild zufrieden,0.15,Sonstiges
"Das Studium passt persönlich sehr gut zu mir und gefällt mir Mega gut, weil alle Vorlesungen praxisorientiert sind und wir so sehr viel wichtiges für die spätere Berufswelt lernen. Da ich später ins Fernsehen möchte, passt das Studium perfekt zu mir, da wir unfassbar tolle Technik zur Verfügung gestellt bekommen und sogar ein eigenes TV Studio haben. Wie dürfen mit der Technik selbst arbeiten und uns wird sehr viel zugetraut,...Erfahrungsbericht weiterlesen",Mittweida,passt persönlich gut gefällt mega gut vorlesungen praxisorientiert wichtiges spätere berufswelt lernen später fernsehen möchte passt perfekt unfassbar tolle technik verfügung gestellt bekommen sogar eigenes tv studio dürfen technik arbeiten zugetraut erfahrungsbericht weiterlesen,0.0,Technik
"Ich persönlich kann zum aktuellen Zeitpunkt (3. Semester) kaum irgendetwas beanstanden. Die Hochschule ist technisch Top ausgestattet und ebenfalls die Professoren sind zu sehr großen Teilen höchst kompetent. Natürlich gibt es immer kleinere Probleme oder Professoren die man nicht leiden kann, jedoch hat das jede Hochschule.",Mittweida,persönlich aktuellen zeitpunkt kaum irgendetwas beanstanden technisch top ausgestattet ebenfalls professoren großen teilen höchst kompetent natürlich gibt kleinere probleme professoren leiden,0.5,Dozenten
"Die Module sind recht vielfältig und die meisten haben auch einen direkten Bezug zur Praxis. Das macht das Lernen nachhaltig und bringt mir persönlich am meisten. Wünschenswert wäre manchmal ein tieferes Verständnis mit aussagekräftigem Wissen nach Abschluss eines Moduls, dass ist nicht immer der Fall. Teilweise sind Themen zu grob nur angeschnitten finde ich.",Mittweida,module recht vielfältig meisten direkten bezug praxis macht lernen nachhaltig bringt persönlich meisten wünschenswert wäre manchmal tieferes verständnis aussagekräftigem wissen abschluss moduls fall teilweise themen grob angeschnitten finde,0.0,Praxisbezug
"Jeder der den Berufswunsch hat, ""etwas mit Medien"" zu studieren, ist in Mittweida bestens aufgehoben. In dem Studium werden viele Schwerpunkte gelehrt und gleichzeitig habt ihr die Möglichkeit an einer Vielzahl von Projekten teilzunehmen, die am Ende eure Zeit und das Studium in Mittweida ausmachen. Durch 99drei Radio Mittweida, das Medienforum oder auch das Campusfestival hatte ich die Gelegenheit Interviews zu führen, meine Moderationskenntnisse auszubessern und zu erfahren, wie vielfältig...Erfahrungsbericht weiterlesen",Mittweida,berufswunsch medien mittweida bestens aufgehoben schwerpunkte gelehrt gleichzeitig habt möglichkeit vielzahl projekten teilzunehmen ende zeit mittweida ausmachen 99drei radio mittweida medienforum campusfestival gelegenheit interviews führen moderationskenntnisse auszubessern erfahren vielfältig erfahrungsbericht weiterlesen,0.0,Praxisbezug
"Ich durfte so einiges an Erfahrungen sammeln.Überwiegend sind es aber leider schlechte Erfahrungen.Die Dozenten/ Mitarbeiter die ich kennenlernen durfte, sind alle samt unglaublich empathielos. Sie verstecken sich immer hinter irgendwelchen Paragraphen. Selbst wenn die Dozenten Fehler machen, werden dafür die Studenten verantwortlich gemacht.Und das ist nur eines von vielen Beispielen.Insgesamt leider eine sehr schlechte Entscheidung gewesen sich dort einzuschreiben.",Mittweida,durfte erfahrungen leider schlechte mitarbeiter kennenlernen durfte samt unglaublich empathielos verstecken irgendwelchen paragraphen dozenten fehler dafür studenten verantwortlich vielen leider schlechte entscheidung einzuschreiben,0.0,Dozenten
Ich studiere seit 4 Semester Medienmanagement. Die meisten Veranstaltungen sind sehr gut gemacht. Vereinzelt gibt es Probleme Dozenten zu finden oder Vorgänge dauern sehr lange.Aber ganz ehrlich wie an jeder anderen Hochschule oder Universität auch.,Mittweida,studiere seit 4 medienmanagement meisten veranstaltungen gut gemacht vereinzelt gibt probleme dozenten finden vorgänge dauern ganz ehrlich,0.0,Dozenten
"Ich habe lange viele Optionen gesucht, um verschiedene Interessen unter eine Hut zu bekommen, aber erst in Mittweida gab es wirklich die perfekte Balance aus tatsächlich allem, was ich je machen wollte. Die Einschreibung ist persönlich und simpel gestaltet, die Mensa Bibliothek genial und alles super organisiert. Der Campus ist schön und alles auch noch ziemlich preiswert, man hat einfach endlos viele Möglichkeiten, kann alles tun was man will und...Erfahrungsbericht weiterlesen",Mittweida,lange optionen gesucht verschiedene interessen hut bekommen erst mittweida gab wirklich perfekte balance tatsächlich je einschreibung persönlich simpel gestaltet mensa bibliothek genial super organisiert campus schön ziemlich preiswert einfach endlos möglichkeiten tun erfahrungsbericht weiterlesen,0.3333333333333333,Ausstattung
In den ersten Semestern meist nur Vorlesungen im gut ausgestatteten Räumen des sehr modernen und attraktiven Zentrums für Medien und Soziales. Danach kommt nach und nach die Praxis mit rein in Form von kleineren Projekten bis hin zur Vertiefung die je nach Wahl sehr viel praktischen Anteil besitzt. Insgesamt ein ansprechendes Studium mit sowohl wissenschaftlichen Inhalten als auch gesellschafts wichtigen Themen.,Mittweida,ersten semestern meist vorlesungen gut ausgestatteten räumen modernen attraktiven zentrums medien soziales danach kommt praxis rein form kleineren projekten vertiefung je wahl praktischen anteil besitzt insgesamt ansprechendes sowohl wissenschaftlichen inhalten gesellschafts wichtigen themen,0.0,Praxisbezug
"Die sehr gute technische Ausstattung der Hochschule bereitet einen super auf das Arbeitsleben vor. Die Module an sich sind zwar lehrreich, aber der große praktische Anteil macht es erst so gut. Es gibt sehr viele Projekte bei denen man selbst Medienprodukte erschaffen kann. Sei es beim lokalen Radiosender, bei einem Onlinemagazin oder beim Campusfestival. Man kann selbstständig arbeiten und es tatsächlich umsetzen und nicht nur in der Theorie erleben.",Mittweida,gute technische ausstattung bereitet super arbeitsleben module lehrreich große praktische anteil macht erst gut gibt projekte denen medienprodukte erschaffen sei beim lokalen radiosender onlinemagazin beim campusfestival selbstständig arbeiten tatsächlich umsetzen theorie erleben,0.3333333333333333,Ausstattung
"Leider hat man wenig Unterstützung bekommen. Die Klausuren sind teilweise so schlecht ausgefallen bzw. bewertet worden, dass Anwälte eingeschaltet worden sind und selbst da war keine Einsicht. Der Studiengang Ansicht ist super interessant und breitgefächert.",Mittweida,leider wenig unterstützung bekommen klausuren teilweise schlecht ausgefallen bzw bewertet worden anwälte eingeschaltet worden einsicht ansicht super interessant breitgefächert,0.3333333333333333,Sonstiges
"Moderne Lernmittel, kompetente Dozenten, interessante Vertiefungen, gute technische Ausstattung, ausreichend Plätze in den Hörsälen/Seminarräumen, gute Vorbereitung auf spätere Arbeitsbereiche, anspruchsvoll, aber machbar, guter Praxisbezug, familiärer Umgang.",Mittweida,moderne lernmittel kompetente dozenten interessante vertiefungen gute technische ausstattung ausreichend plätze gute vorbereitung spätere arbeitsbereiche anspruchsvoll machbar guter praxisbezug familiärer umgang,0.0,Dozenten
"Das System einen Zweitprüfer aus der freien Wirtschaft zu finden macht den ganzen Prozess seinen Bachelor zu schreiben wesentlich langatmiger als notwendig da man schwer einen findet, die Option sich beide Prüfer mit eigenem Thema stellen zu lassen gibt es leider nicht, deswegen fühlt man sich auch unzureichend betreut und muss länger studieren als man eigentlich will.",Mittweida,system zweitprüfer freien wirtschaft finden macht ganzen prozess bachelor schreiben wesentlich langatmiger notwendig schwer findet option beide prüfer eigenem thema stellen lassen gibt leider deswegen fühlt unzureichend betreut länger eigentlich,0.0,Sonstiges
"Das Studium im Bereich Medienmanagement in Mittweida bietet vielfältige Studieninhalte an, was sich an den Modulen zeigt.In den später, gewählten Vertiefungsrichtungen ab dem 3. Semester und bei den Wahlpflichtmodulen gibt es verschiedene Bereiche, die zur Auswahl stehen.Man kann sich somit für eine spezielle Vertiefung entscheiden und auch für die spätere Berufswahl bereits eine Entscheidung treffen. Dies finde ich persönlich ein sehr gutes Konzept. Einige, geplante Studieninhalte der Studienplanung...Erfahrungsbericht weiterlesen",Mittweida,bereich medienmanagement mittweida bietet vielfältige studieninhalte modulen später gewählten vertiefungsrichtungen wahlpflichtmodulen gibt verschiedene bereiche auswahl somit spezielle vertiefung entscheiden spätere berufswahl bereits entscheidung treffen finde persönlich gutes konzept geplante studieninhalte studienplanung erfahrungsbericht weiterlesen,0.0,Sonstiges
"Das Studium stellt verschiedene medienbezogene Inhalte und Techniken vor und gibt den Studierenden einen umfassenden Einblick in die Möglichkeiten im Berufsleben. Besonders herausstechend ist die Nähe des Studierenden zu den Dozenten und Professoren. Durch die eher kleinen Seminar- und Praktikumsgruppen kann auf jedes Bedürfnis eingegangen werden.Der Campus ist klein und gemütlich, alles ist fußläufig erreichbar.In der Mensa gibt es eine großen Essensauswahl für kleines Geld.",Mittweida,stellt verschiedene medienbezogene inhalte techniken gibt studierenden umfassenden einblick möglichkeiten berufsleben besonders herausstechend nähe studierenden dozenten professoren eher kleinen praktikumsgruppen bedürfnis eingegangen campus klein gemütlich fußläufig mensa gibt großen essensauswahl kleines geld,0.0,Dozenten
"Es kommt drauf an welche Interessen man vertritt. Ich persönlich habe mich schon weit vor des Studiengangs für die Production Vertiefung entschieden. Man konnte im Studiengang wirklich schon einiges machen. Einen Kurzfilm im 2. Semester und einige lineare TV-Produktionen. Letzteres ist die Hochschule auch topp ausgestattet, lehrreich und die Dozenten stecken voller Wissen und machen einen kompetenten Eindruck. Obwohl sich viele im Modul ""Film & TV Production"" mehr Film-Produktion gewünscht...Erfahrungsbericht weiterlesen",Mittweida,kommt drauf interessen vertritt persönlich schon weit studiengangs production vertiefung entschieden konnte wirklich schon kurzfilm lineare letzteres topp ausgestattet lehrreich dozenten stecken voller wissen kompetenten eindruck modul film tv production gewünscht erfahrungsbericht weiterlesen,0.0,Dozenten
"In Mittweida sagen dir alle: ""Das Studium ist was du selber draus machst"".Ein Spruch den man eigentlich nur von einer zu kitschigen Werbekampagne erwarten würde, der allerdings wie die Faust aufs Auge trifft.Im Medienmanagement Studium starten alle mit den basics und ab dem 3. Semester kann man dann eine von vier Vertiefungen wählen.Ich habe mich für ""Production"" entschieden und kann dort aus eigenen Erfahrungen und...Erfahrungsbericht weiterlesen",Mittweida,mittweida sagen selber draus machst spruch eigentlich kitschigen werbekampagne erwarten allerdings faust aufs auge medienmanagement starten basics vier vertiefungen production entschieden eigenen erfahrungen erfahrungsbericht weiterlesen,0.0,Sonstiges
"Das Studium in Mittweida ist wirklich eine Klasse für sich. Allein der Ort ist sehr ruhig und abgelegen dennoch irgendwie ein großer Standort für viele Fakultäten. Medienmanagement ist der perfekte Studiengang für Personen die in die Richtungen, Journalismus, Kameraführung oder Moderation gehen wollen. Nur leider ist die Planung an der HSMW wirklich schlecht und auch die Dozenten sprechen sich untereinander wenig ab. Einige Dozenten erreicht man weder telefonisch noch antworten...Erfahrungsbericht weiterlesen",Mittweida,mittweida wirklich klasse allein ort ruhig abgelegen dennoch irgendwie großer standort fakultäten medienmanagement perfekte personen richtungen journalismus kameraführung moderation gehen leider planung hsmw wirklich schlecht dozenten sprechen untereinander wenig dozenten erreicht weder telefonisch antworten erfahrungsbericht weiterlesen,0.0,Dozenten
"In Mittweida lernst du alles. Hier wird nicht nur Theorie gemacht sondern in relevanten Praxisprojekten gearbeitet. Egal ob Campusfestival, Medienforum oder Esport, alles was du während den Vorlesungen vermittelt bekommst, kannst du direkt anwenden.Durch diesen riesigen Praxisbezug bist nach dem Studium dem Großteil der anderen deutschen Medienstudiengänge einen großen Schritt voraus.",Mittweida,mittweida lernst theorie gemacht relevanten praxisprojekten gearbeitet egal campusfestival medienforum esport vorlesungen vermittelt bekommst kannst direkt riesigen praxisbezug großteil deutschen medienstudiengänge großen schritt voraus,0.0,Praxisbezug
"Das Studium in Mittweida war vor allem geprägt von spannenden Projekten, bei denen sich die Studierenden professionalisieren und zeitgleich ein wertvolles Netzwerk aufbauen konnten. Neben den Lehrveranstaltungen machen diese einen großen Teil der Lehre aus. Den Studierenden wird hier ein hohes Maß an Vertrauen entgegengebracht.",Mittweida,mittweida geprägt spannenden projekten denen studierenden professionalisieren zeitgleich wertvolles netzwerk aufbauen konnten neben lehrveranstaltungen großen teil lehre studierenden hohes maß vertrauen entgegengebracht,0.0,Praxisbezug
"Das Studium beinhaltet viele verschiedene Bereiche zur Wissenschaft und Wirtschaft, die gut auf die Praxis vorbereiten. Auch im digitalen Studium funktioniert alles, da die Dozenten und die Uni sehr hilfsbereit sind. Die Organisation verläuft in den häufigsten Fällen reibungslos.",Mittweida,beinhaltet verschiedene bereiche wissenschaft wirtschaft gut praxis vorbereiten digitalen funktioniert dozenten hilfsbereit organisation verläuft häufigsten fällen reibungslos,0.0,Dozenten
"Medienmanagement ist ein toller Grundlagen Studiengang, mit dem man später sehe viel anfangen kann. Obwohl die allgemeine Organisation teilweise besser sein könnte und es herbei immer Mal wieder zu lustige n Chaos kommt, passt der Rest. Die Dozenten und Professoren sind kompetent und unterstützen die Studenten. Es gibt ein großes Angebot an vielen praktischen Lehrgängen und Veranstaltungen. Das Arbeitsklima ist angenehm und locker. Die technische Ausstattung ist meist gut, auch...Erfahrungsbericht weiterlesen",Mittweida,medienmanagement toller grundlagen später sehe anfangen allgemeine organisation teilweise besser herbei mal lustige n chaos kommt passt rest dozenten professoren kompetent unterstützen studenten gibt großes angebot vielen praktischen lehrgängen veranstaltungen arbeitsklima angenehm locker technische ausstattung meist gut erfahrungsbericht weiterlesen,0.0,Dozenten
"Ich war eine klassische Corona Studentin. Am Anfang war es eher schwer, Unterricht zu machen, da keiner auf die Situation vorbereitet war. Dennoch hat es sich nach ein paar Wochen geregelt und man konnte einen Sinnvollen Unterricht machen.Es gibt immer Dozenten mit denen man gut klar kommt und mit manchen, mit den man weniger klar kommt …Probleme konnte man immer kommunizieren und es wurde versucht eine passende Lösung...Erfahrungsbericht weiterlesen",Mittweida,klassische corona studentin anfang eher schwer unterricht situation vorbereitet dennoch paar wochen geregelt konnte sinnvollen unterricht gibt dozenten denen gut klar kommt weniger klar kommt konnte kommunizieren wurde versucht passende lösung erfahrungsbericht weiterlesen,0.0,Dozenten
